"Version",2
"File Name","Loc Cal - BRU U6 A02 (2015-06-10) (06;27;09) W6 -0866--0586 FREE .dat"

"!Header Information"
"Station","Bruce"
"Unit",6
"Channel","A02"
"Pass","6"
"Face","West"
"ToolID","PN1213B"
"Probe","FREE"
"Date","2015-06-10"
"Time","06:27:09"
"StartPosition",-866
"EndPosition",-586
"MaxSpacers",4
"Orientation","Inlet"
"Mode","Locate"
"EndToolRotary",0
"InitialAxial",-876
"InitialRamOrFreeAxial",-912
"InitialMidAxial",0
"Number Of Data Channels",4

"!Channel Names"
"ChannelName1","LOCFREE3"
"ChannelName2","LOCFREE24"
"ChannelName3","GAP6FREE"
"ChannelName4","AXIALENCODER"

"!Calibration Constants"
"Gain3Khz",.75323684260005
"Phase3Khz",5.62974275734315
"Gain24Khz",1.81741221361608
"Phase24Khz",2.96298222131338
"GainGap6RamOrFree",.03
"PhaseGap6RamOrFree",3.1415926
"GainGap9RamOrFree",.03
"PhaseGap9RamOrFree",3.1415926
"GainGap6Mid",0
"PhaseGap6Mid",0
"GainGap9Mid",0
"PhaseGap9Mid",0
"GainMixed",.9528201747462
"PhaseMixed",3.88347570636821E-02

"!Encoder Resolution (mm/data point)",.5431
"!Pressure Offset (Encoder counts)",-2980
"!Pressure Gain (Percent per Encoder Count)",.0086
"!Gap Encoder Gain (mm / Encoder counts)",.005
"!Gap Encoder Physical Offset (mm)",1
"!Gap Sample Rate (Hz)",20

"!Number Of Data Points",517

"!You can add lines of text to this file here..."
"!Locate/Gap will read (and ignore) lines until !Data: is found!"

"!Data: Ch1X, Ch1Y, Ch2X, Ch2Y, Ch3X, Ch3Y, Ch4X, Ch4Y, Ch5X, Ch5Y, Ch6X, Ch6Y, Ch7X, Ch7Y"
-597,71,-228,-57,-2,39,157,0
-623,110,-229,-56,-2,39,158,0
-643,133,-227,-56,-2,39,159,0
-665,159,-228,-54,-2,39,160,0
-677,186,-227,-57,-3,38,161,0
-700,211,-226,-53,-3,38,162,0
-717,229,-226,-52,-3,38,163,0
-736,249,-226,-52,-2,38,164,0
-747,269,-222,-51,-2,39,165,0
-760,288,-223,-52,-1,39,166,0
-770,313,-221,-51,0,40,167,0
-783,324,-216,-49,1,40,168,0
-787,341,-216,-51,3,41,169,0
-795,349,-217,-50,5,42,170,0
-801,366,-213,-47,7,43,171,0
-810,372,-213,-47,9,43,172,0
-813,390,-210,-45,11,43,173,0
-817,387,-209,-47,12,44,174,0
-821,398,-209,-48,15,44,175,0
-818,403,-206,-45,17,45,176,0
-823,408,-204,-45,19,45,177,0
-820,412,-202,-45,21,45,178,0
-823,408,-199,-43,23,46,179,0
-817,406,-196,-42,25,46,180,0
-817,409,-195,-42,27,47,181,0
-811,414,-193,-42,29,47,182,0
-811,408,-191,-43,31,47,183,0
-802,408,-189,-40,32,48,184,0
-795,403,-187,-42,33,48,185,0
-788,408,-183,-40,35,48,186,0
-780,410,-181,-40,37,48,187,0
-776,400,-178,-39,38,49,188,0
-767,389,-176,-37,40,50,189,0
-757,381,-171,-36,41,50,190,0
-747,372,-169,-35,42,50,191,0
-744,365,-167,-33,43,50,192,0
-731,356,-165,-35,45,50,193,0
-724,346,-161,-32,46,51,194,0
-704,340,-158,-34,46,51,195,0
-696,336,-157,-31,47,51,196,0
-683,319,-153,-31,48,51,197,0
-675,305,-151,-32,49,52,198,0
-655,296,-147,-28,50,52,199,0
-644,276,-143,-29,50,51,200,0
-631,266,-143,-29,51,51,201,0
-622,253,-140,-26,51,51,202,0
-605,241,-137,-25,52,52,203,0
-594,220,-133,-26,52,52,204,0
-576,209,-131,-23,52,52,205,0
-564,195,-129,-25,52,52,206,0
-549,188,-125,-23,52,52,207,0
-535,165,-124,-21,52,52,208,0
-519,148,-120,-22,51,52,209,0
-499,130,-116,-21,51,52,210,0
-489,121,-115,-20,51,52,211,0
-474,100,-111,-19,50,52,212,0
-456,90,-109,-17,50,52,213,0
-443,73,-108,-17,49,52,214,0
-432,51,-105,-15,49,51,215,0
-412,32,-102,-15,48,51,216,0
-400,19,-100,-17,48,50,217,0
-386,-3,-97,-12,47,50,218,0
-377,-24,-96,-12,47,49,219,0
-355,-39,-93,-11,46,49,220,0
-343,-51,-94,-11,45,49,221,0
-325,-68,-91,-10,45,49,222,0
-319,-82,-90,-10,44,49,223,0
-307,-102,-89,-8,43,49,224,0
-294,-121,-88,-8,42,49,225,0
-279,-143,-86,-7,41,49,226,0
-266,-160,-85,-8,40,48,227,0
-251,-172,-84,-7,39,48,228,0
-242,-186,-85,-5,38,48,229,0
-231,-204,-86,-5,36,47,230,0
-221,-216,-87,-6,35,47,231,0
-207,-235,-85,-4,33,47,232,0
-194,-250,-86,-3,32,47,233,0
-181,-257,-89,-3,30,46,234,0
-174,-273,-90,-2,29,46,235,0
-160,-293,-91,-4,27,46,236,0
-145,-298,-93,-4,25,46,237,0
-132,-310,-95,-3,23,45,238,0
-126,-320,-96,-5,21,45,239,0
-110,-329,-101,-5,19,45,240,0
-96,-336,-102,-4,18,44,241,0
-80,-349,-106,-6,16,44,242,0
-73,-350,-110,-5,14,43,243,0
-58,-359,-116,-6,13,43,244,0
-45,-366,-121,-7,11,43,245,0
-24,-367,-128,-9,9,42,246,0
-13,-371,-132,-7,7,41,247,0
9,-364,-140,-8,6,41,248,0
17,-365,-143,-12,5,40,249,0
40,-369,-149,-11,4,40,250,0
53,-371,-161,-14,3,40,251,0
73,-361,-164,-13,2,39,252,0
90,-366,-174,-16,1,39,253,0
106,-361,-182,-18,0,38,254,0
128,-358,-189,-20,0,38,255,0
144,-350,-197,-22,0,38,256,0
165,-344,-205,-26,0,38,257,0
183,-333,-214,-27,0,37,258,0
198,-336,-222,-29,1,37,259,0
218,-326,-232,-29,1,37,260,0
243,-306,-241,-33,2,37,261,0
